CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
6H,534,ISRAIR AIRLINES,2025-07-01T15:35:00,2025-07-01T16:47:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,LANDED,נחתה
6H,573,ISRAIR AIRLINES,2025-07-01T16:35:00,2025-07-01T16:47:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,22-33,A,DEPARTED,המריאה
6H,248,ISRAIR AIRLINES,2025-07-01T16:45:00,2025-07-01T16:51:00,A,SZG,SALZBURG,זלצבורג,SALZBURG,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
IZ,367,ARKIA  ISRAELI  AIRLINES,2025-07-01T14:55:00,2025-07-01T16:55:00,D,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,34-43,B,DEPARTED,המריאה
AF,7068,AIR FRANCE,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7898,AERO MEXICO,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,320,EL AL ISRAEL AIRLINES,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3164,SAS,2025-07-01T16:35:00,2025-07-01T16:56:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
U8,312,TUS AIRWAYS,2025-07-01T16:00:00,2025-07-01T16:56:00,D,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,G1-G5,G,DEPARTED,המריאה
6H,151,ISRAIR AIRLINES,2025-07-01T16:25:00,2025-07-01T16:59:00,D,AGP,MALAGA,מלגה,MALAGA,ספרד,SPAIN,3,22-33,A,DEPARTED,המריאה
BZ,753,BLUE BIRD AIRWAYS,2025-07-01T16:20:00,2025-07-01T17:04:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,LANDED,נחתה
KL,2472,K.L.M.,2025-07-01T17:20:00,2025-07-01T17:07:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,338,EL AL ISRAEL AIRLINES,2025-07-01T17:20:00,2025-07-01T17:07:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
SK,3150,SAS,2025-07-01T17:20:00,2025-07-01T17:07:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,LANDED,נחתה
LY,343,EL AL ISRAEL AIRLINES,2025-07-01T16:40:00,2025-07-01T17:08:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
SK,3191,SAS,2025-07-01T16:40:00,2025-07-01T17:08:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,78-99,D,DEPARTED,המריאה
6H,582,ISRAIR AIRLINES,2025-07-01T17:15:00,2025-07-01T17:10:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
DIR,2026,FLYYO,2025-07-01T14:40:00,2025-07-01T17:13:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
AM,7877,AERO MEXICO,2025-07-01T17:00:00,2025-07-01T17:22:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,62-76,C,DEPARTED,המריאה
LY,317,EL AL ISRAEL AIRLINES,2025-07-01T17:00:00,2025-07-01T17:22:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,62-76,C,DEPARTED,המריאה
VS,7495,VIRGIN ATLANTIC AIRWAYS,2025-07-01T17:00:00,2025-07-01T17:22:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,62-76,C,DEPARTED,המריאה
LY,382,EL AL ISRAEL AIRLINES,2025-07-01T16:50:00,2025-07-01T17:24:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
SK,3184,SAS,2025-07-01T16:50:00,2025-07-01T17:24:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
6H,727,ISRAIR AIRLINES,2025-07-01T16:45:00,2025-07-01T17:26:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,22-33,A,DEPARTED,המריאה
AM,7859,AERO MEXICO,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7872,AEROLINEAS ARGENTINAS S.A.,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,7715,IBERIA,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,396,EL AL ISRAEL AIRLINES,2025-07-01T16:55:00,2025-07-01T17:29:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,348,EL AL ISRAEL AIRLINES,2025-07-01T17:25:00,2025-07-01T17:32:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
SK,3188,SAS,2025-07-01T17:25:00,2025-07-01T17:32:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
IZ,417,ARKIA  ISRAELI  AIRLINES,2025-07-01T17:15:00,2025-07-01T17:39:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,43-49,B,DEPARTED,המריאה
AM,7865,AERO MEXICO,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
AR,7857,AEROLINEAS ARGENTINAS S.A.,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
B6,6457,JETBLUE AIRWAYS CORPORATION,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
DL,7432,DELTA AIRLINES,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
LY,011,EL AL ISRAEL AIRLINES,2025-07-01T16:55:00,2025-07-01T17:41:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,62-76,C,DEPARTED,המריאה
B6,6464,JETBLUE AIRWAYS CORPORATION,2025-07-01T17:55:00,2025-07-01T17:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7445,DELTA AIRLINES,2025-07-01T17:55:00,2025-07-01T17:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,106,EL AL ISRAEL AIRLINES,2025-07-01T17:55:00,2025-07-01T17:42:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,2373,EL AL ISRAEL AIRLINES,2025-07-01T17:30:00,2025-07-01T17:50:00,D,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,78-99,D,DEPARTED,המריאה
EK,2470,EMIRATES,2025-07-01T18:15:00,2025-07-01T17:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
FZ,1125,FLYDUBAI,2025-07-01T18:15:00,2025-07-01T17:51:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,LANDED,נחתה
AM,7856,AERO MEXICO,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
AR,7856,AEROLINEAS ARGENTINAS S.A.,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
B6,6456,JETBLUE AIRWAYS CORPORATION,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
DL,7431,DELTA AIRLINES,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,008,EL AL ISRAEL AIRLINES,2025-07-01T17:10:00,2025-07-01T17:54:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
IZ,821,ARKIA  ISRAELI  AIRLINES,2025-07-01T16:50:00,2025-07-01T17:55:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G25,G,DEPARTED,המריאה
6H,751,ISRAIR AIRLINES,2025-07-01T17:20:00,2025-07-01T17:57:00,D,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3,22-33,A,DEPARTED,המריאה
LIL,9105,FLY LILI,2025-07-01T18:00:00,2025-07-01T18:00:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,38-40,B,CANCELED,מבוטלת
BZ,701,BLUE BIRD AIRWAYS,2025-07-01T17:30:00,2025-07-01T18:01:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
LO,5255,LOT POLISH AIRLINES,2025-07-01T17:45:00,2025-07-01T18:03:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
LY,5105,EL AL ISRAEL AIRLINES,2025-07-01T17:45:00,2025-07-01T18:03:00,D,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
LY,363,EL AL ISRAEL AIRLINES,2025-07-01T17:30:00,2025-07-01T18:05:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,78-99,D,DEPARTED,המריאה
6H,351,ISRAIR AIRLINES,2025-07-01T17:40:00,2025-07-01T18:07:00,D,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,3,22-33,A,DEPARTED,המריאה
AF,7071,AIR FRANCE,2025-07-01T17:15:00,2025-07-01T18:11:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AM,7853,AERO MEXICO,2025-07-01T17:15:00,2025-07-01T18:11:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
LY,325,EL AL ISRAEL AIRLINES,2025-07-01T17:15:00,2025-07-01T18:11:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,DEPARTED,המריאה
AF,6175,AIR FRANCE,2025-07-01T18:00:00,2025-07-01T18:13:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AM,7866,AERO MEXICO,2025-07-01T17:15:00,2025-07-01T18:13:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
AM,7896,AERO MEXICO,2025-07-01T18:00:00,2025-07-01T18:13:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
AR,7873,AEROLINEAS ARGENTINAS S.A.,2025-07-01T17:15:00,2025-07-01T18:13:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IB,7716,IBERIA,2025-07-01T17:15:00,2025-07-01T18:13:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,222,EL AL ISRAEL AIRLINES,2025-07-01T18:00:00,2025-07-01T18:13:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,397,EL AL ISRAEL AIRLINES,2025-07-01T17:15:00,2025-07-01T18:13:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
IB,7710,IBERIA,2025-07-01T17:45:00,2025-07-01T18:15:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,391,EL AL ISRAEL AIRLINES,2025-07-01T17:45:00,2025-07-01T18:15:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,78-99,D,DEPARTED,המריאה
LY,5468,EL AL ISRAEL AIRLINES,2025-07-01T18:35:00,2025-07-01T18:20:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,LANDED,נחתה
BZ,756,BLUE BIRD AIRWAYS,2025-07-01T17:55:00,2025-07-01T18:23:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,G6-G18,G,DEPARTED,המריאה
LY,2523,EL AL ISRAEL AIRLINES,2025-07-01T17:55:00,2025-07-01T18:25:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,78-99,D,DEPARTED,המריאה
LY,375,EL AL ISRAEL AIRLINES,2025-07-01T16:55:00,2025-07-01T18:27:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
TP,8920,AIR PORTUGAL,2025-07-01T16:55:00,2025-07-01T18:27:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,DEPARTED,המריאה
6H,517,ISRAIR AIRLINES,2025-07-01T18:20:00,2025-07-01T18:33:00,D,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,22-33,A,DEPARTED,המריאה
LO,5251,LOT POLISH AIRLINES,2025-07-01T18:15:00,2025-07-01T18:35:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
LY,5119,EL AL ISRAEL AIRLINES,2025-07-01T18:15:00,2025-07-01T18:35:00,D,KRK,KRAKOW,קרקוב,KRAKOW,פולין,POLAND,3,78-99,D,DEPARTED,המריאה
LY,387,EL AL ISRAEL AIRLINES,2025-07-01T18:30:00,2025-07-01T18:37:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3183,SAS,2025-07-01T18:30:00,2025-07-01T18:37:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8912,AIR PORTUGAL,2025-07-01T18:30:00,2025-07-01T18:37:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8938,AIR PORTUGAL,2025-07-01T18:30:00,2025-07-01T18:37:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,5222,EL AL ISRAEL AIRLINES,2025-07-01T17:55:00,2025-07-01T18:38:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
IZ,1164,ARKIA  ISRAELI  AIRLINES,2025-07-01T19:00:00,2025-07-01T18:41:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
AR,7879,AEROLINEAS ARGENTINAS S.A.,2025-07-01T18:00:00,2025-07-01T18:44:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,383,EL AL ISRAEL AIRLINES,2025-07-01T18:00:00,2025-07-01T18:44:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
SK,3169,SAS,2025-07-01T18:00:00,2025-07-01T18:44:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
TP,8900,AIR PORTUGAL,2025-07-01T18:00:00,2025-07-01T18:44:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
LY,5216,EL AL ISRAEL AIRLINES,2025-07-01T18:55:00,2025-07-01T18:46:00,A,EFL,KEFALLINIA,קפלוניה,KEFALONIA,יוון,GREECE,3,,,LANDED,נחתה
6H,394,ISRAIR AIRLINES,2025-07-01T18:45:00,2025-07-01T18:49:00,A,BSL,BASEL,באזל,BASEL,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
HY,303,UZBEKISTAN AIR,2025-07-01T18:45:00,2025-07-01T18:53:00,A,TAS,TASHKENT,טשקנט,TASHKENT,אוזבקיסטן,UZBEKISTAN,3,,,LANDED,נחתה
IZ,070,ARKIA  ISRAELI  AIRLINES,2025-07-01T18:45:00,2025-07-01T19:03:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
LY,543,EL AL ISRAEL AIRLINES,2025-07-01T18:30:00,2025-07-01T19:04:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
IZ,095,ARKIA  ISRAELI  AIRLINES,2025-07-01T18:30:00,2025-07-01T19:08:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,43-49,B,DEPARTED,המריאה
LY,5424,EL AL ISRAEL AIRLINES,2025-07-01T15:05:00,2025-07-01T19:11:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
LY,289,EL AL ISRAEL AIRLINES,2025-07-01T18:00:00,2025-07-01T19:15:00,D,VCE,VENICE,ונציה,VENICE,איטליה,ITALY,3,78-99,D,DEPARTED,המריאה
6H,729,ISRAIR AIRLINES,2025-07-01T12:15:00,2025-07-01T19:20:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,26-33,A,DEPARTED,המריאה
6H,347,ISRAIR AIRLINES,2025-07-01T18:50:00,2025-07-01T19:24:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,22-33,A,DEPARTED,המריאה
BZ,252,BLUE BIRD AIRWAYS,2025-07-01T18:25:00,2025-07-01T19:29:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,G6-G18,G,DEPARTED,המריאה
LY,571,EL AL ISRAEL AIRLINES,2025-07-01T18:35:00,2025-07-01T19:34:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,DEPARTED,המריאה
DL,7453,DELTA AIRLINES,2025-07-01T19:40:00,2025-07-01T19:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
LY,316,EL AL ISRAEL AIRLINES,2025-07-01T19:40:00,2025-07-01T19:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
SK,3176,SAS,2025-07-01T19:40:00,2025-07-01T19:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
VS,7494,VIRGIN ATLANTIC AIRWAYS,2025-07-01T19:40:00,2025-07-01T19:40:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
6H,893,ISRAIR AIRLINES,2025-07-01T19:20:00,2025-07-01T19:43:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,28-33,A,DEPARTED,המריאה
LY,612,EL AL ISRAEL AIRLINES,2025-07-01T20:10:00,2025-07-01T19:50:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
IZ,822,ARKIA  ISRAELI  AIRLINES,2025-07-01T19:20:00,2025-07-01T19:52:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,LANDED,נחתה
EK,2471,EMIRATES,2025-07-01T19:45:00,2025-07-01T19:57:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,DEPARTED,המריאה
FZ,1126,FLYDUBAI,2025-07-01T19:45:00,2025-07-01T19:57:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,DEPARTED,המריאה
EY,598,ETIHAD AIRWAYS,2025-07-01T20:05:00,2025-07-01T20:05:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,CANCELED,מבוטלת
IZ,056,ARKIA  ISRAELI  AIRLINES,2025-07-01T20:15:00,2025-07-01T20:14:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,LANDED,נחתה
LY,2367,EL AL ISRAEL AIRLINES,2025-07-01T20:00:00,2025-07-01T20:15:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,DEPARTED,המריאה
IZ,216,ARKIA  ISRAELI  AIRLINES,2025-07-01T20:25:00,2025-07-01T20:19:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,LANDED,נחתה
6H,165,ISRAIR AIRLINES,2025-07-01T19:45:00,2025-07-01T20:19:00,D,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3,28-33,A,DEPARTED,המריאה
IZ,213,ARKIA  ISRAELI  AIRLINES,2025-07-01T20:15:00,2025-07-01T20:41:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,34-37,B,DEPARTED,המריאה
LY,087,EL AL ISRAEL AIRLINES,2025-07-01T20:10:00,2025-07-01T20:43:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
TG,4580,THAI AIRWAYS,2025-07-01T20:10:00,2025-07-01T20:43:00,D,HKT,PHUKET,פוקט,PHUKET,תאילנד,THAILAND,3,78-99,D,DEPARTED,המריאה
IZ,272,ARKIA  ISRAELI  AIRLINES,2025-07-01T20:55:00,2025-07-01T20:48:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,LANDED,נחתה
AM,7862,AERO MEXICO,2025-07-01T20:55:00,2025-07-01T20:53:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,324,EL AL ISRAEL AIRLINES,2025-07-01T20:55:00,2025-07-01T20:53:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
SK,3160,SAS,2025-07-01T20:55:00,2025-07-01T20:53:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LIL,9106,FLY LILI,2025-07-01T20:55:00,2025-07-01T20:55:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,CANCELED,מבוטלת
BZ,563,BLUE BIRD AIRWAYS,2025-07-01T21:40:00,2025-07-01T20:56:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,LANDED,נחתה
IZ,827,ARKIA  ISRAELI  AIRLINES,2025-07-01T20:20:00,2025-07-01T20:59:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G25,G,DEPARTED,המריאה
BZ,693,BLUE BIRD AIRWAYS,2025-07-01T21:00:00,2025-07-01T21:00:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,5225,EL AL ISRAEL AIRLINES,2025-07-01T14:40:00,2025-07-01T21:05:00,D,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
HY,304,UZBEKISTAN AIR,2025-07-01T20:15:00,2025-07-01T21:08:00,D,SKD,SAMARKAND,סמרקנד,SAMARKAND,אוזבקיסטן,UZBEKISTAN,3,50-55,B,DEPARTED,המריאה
LY,5133,EL AL ISRAEL AIRLINES,2025-07-01T20:30:00,2025-07-01T21:16:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,DEPARTED,המריאה
6H,762,ISRAIR AIRLINES,2025-07-01T20:10:00,2025-07-01T21:30:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,CANCELED,מבוטלת
LY,5109,EL AL ISRAEL AIRLINES,2025-07-01T21:00:00,2025-07-01T21:34:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,78-99,D,DEPARTED,המריאה
LY,5127,EL AL ISRAEL AIRLINES,2025-07-01T21:15:00,2025-07-01T21:45:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,78-99,D,DEPARTED,המריאה
6H,574,ISRAIR AIRLINES,2025-07-01T22:15:00,2025-07-01T21:58:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,LANDED,נחתה
IZ,742,ARKIA  ISRAELI  AIRLINES,2025-07-01T21:45:00,2025-07-01T22:01:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,545,EL AL ISRAEL AIRLINES,2025-07-01T21:35:00,2025-07-01T22:02:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,DEPARTED,המריאה
LY,5137,EL AL ISRAEL AIRLINES,2025-07-01T21:30:00,2025-07-01T22:04:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,DEPARTED,המריאה
6H,518,ISRAIR AIRLINES,2025-07-01T22:35:00,2025-07-01T22:13:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,LANDED,נחתה
