CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
AR,7857,AEROLINEAS ARGENTINAS S.A.,2025-07-03T16:55:00,2025-07-03T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7872,AEROLINEAS ARGENTINAS S.A.,2025-07-03T16:55:00,2025-07-03T16:55:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
B6,6457,JETBLUE AIRWAYS CORPORATION,2025-07-03T16:55:00,2025-07-03T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7432,DELTA AIRLINES,2025-07-03T16:55:00,2025-07-03T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
FZ,1246,FLYDUBAI,2025-07-03T16:55:00,2025-07-03T16:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-60,C,ON TIME,בזמן
IB,7715,IBERIA,2025-07-03T16:55:00,2025-07-03T16:55:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
LY,011,EL AL ISRAEL AIRLINES,2025-07-03T16:55:00,2025-07-03T16:55:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,325,EL AL ISRAEL AIRLINES,2025-07-03T16:55:00,2025-07-03T16:55:00,D,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,78-99,D,ON TIME,בזמן
LY,375,EL AL ISRAEL AIRLINES,2025-07-03T16:55:00,2025-07-03T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
LY,396,EL AL ISRAEL AIRLINES,2025-07-03T16:55:00,2025-07-03T16:55:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
TP,8920,AIR PORTUGAL,2025-07-03T16:55:00,2025-07-03T16:55:00,D,LIS,LISBON,ליסבון,LISBON,פורטוגל,PORTUGAL,3,78-99,D,ON TIME,בזמן
AM,7877,AERO MEXICO,2025-07-03T17:00:00,2025-07-03T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
IZ,1162,ARKIA  ISRAELI  AIRLINES,2025-07-03T17:00:00,2025-07-03T17:00:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,317,EL AL ISRAEL AIRLINES,2025-07-03T17:00:00,2025-07-03T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
VS,7495,VIRGIN ATLANTIC AIRWAYS,2025-07-03T17:00:00,2025-07-03T17:00:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,78-99,D,ON TIME,בזמן
